119.80723 - 1800,555 - Button.right
119.91549 - 1813,545 - Button.right
119.98846 - 1822,536 - Button.right
120.11701 - 1822,539 - Button.right
120.20494 - 1836,542 - Button.right
120.31564 - 1840,545 - Button.right
120.38050 - 1840,545 - Button.right
120.50653 - 1840,545 - Button.right
120.62391 - 1827,688 - Button.right
120.74300 - 1816,707 - Button.right
121.72277 - 1352,1259 - Button.left
121.81989 - 1352,1259 - Button.left
128.29561 - 1874,1091 - Button.right
128.44566 - 1910,1182 - Button.right
128.54782 - 1941,1199 - Button.right
128.69860 - 1966,1220 - Button.right
128.75062 - 1968,1222 - Button.right
128.87811 - 1972,1225 - Button.right
128.97694 - 1979,1236 - Button.right
129.09413 - 1979,1235 - Button.right
129.19166 - 1977,1234 - Button.right
129.31176 - 1977,1233 - Button.right
137.90075 - 1049,890 - Button.right
138.00886 - 1042,886 - Button.right
138.10916 - 893,713 - Button.right
138.20210 - 817,668 - Button.right
138.29769 - 845,603 - Button.right
138.42490 - 832,612 - Button.right
138.51948 - 799,570 - Button.right
138.63407 - 781,540 - Button.right
138.71546 - 774,528 - Button.right
138.84212 - 761,522 - Button.right
138.92888 - 748,506 - Button.right
139.04998 - 743,504 - Button.right
139.14989 - 742,478 - Button.right
139.26076 - 742,470 - Button.right
139.35345 - 739,443 - Button.right
139.48732 - 738,442 - Button.right
139.58503 - 736,438 - Button.right
139.68841 - 736,438 - Button.right
139.80212 - 742,404 - Button.right
139.92088 - 742,404 - Button.right
140.04738 - 813,413 - Button.right
140.15856 - 858,442 - Button.right
140.26928 - 928,438 - Button.right
140.36831 - 932,438 - Button.right
140.49549 - 1080,513 - Button.right
140.60740 - 1108,538 - Button.right
140.72736 - 1182,537 - Button.right
140.84241 - 1210,555 - Button.right
140.96643 - 1222,566 - Button.right
141.08447 - 1119,581 - Button.right
141.18177 - 1063,710 - Button.right
141.28448 - 1082,761 - Button.right
141.38048 - 1059,789 - Button.right
141.49866 - 1042,829 - Button.right
141.59162 - 1043,833 - Button.right
141.70491 - 1022,870 - Button.right
141.79838 - 992,889 - Button.right
141.91265 - 931,933 - Button.right
142.01993 - 927,932 - Button.right
142.13664 - 934,945 - Button.right
142.22864 - 933,951 - Button.right
142.34855 - 936,958 - Button.right
142.51163 - 1091,998 - Button.right
142.62386 - 1211,977 - Button.right
142.68927 - 1214,981 - Button.right
142.81546 - 1220,987 - Button.right
142.91786 - 1216,1001 - Button.right
143.02641 - 1210,1029 - Button.right
143.32940 - 1061,894 - Button.right
143.44088 - 997,877 - Button.right
143.51439 - 973,876 - Button.right
143.64331 - 846,914 - Button.right
143.74509 - 842,925 - Button.right
143.86813 - 826,931 - Button.right
143.95208 - 808,923 - Button.right
144.08406 - 762,930 - Button.right
144.19793 - 749,927 - Button.right
144.31019 - 697,926 - Button.right
144.43897 - 690,922 - Button.right
144.56400 - 664,924 - Button.right
144.67134 - 657,923 - Button.right
144.78454 - 643,927 - Button.right
144.92843 - 907,872 - Button.right
145.04729 - 907,876 - Button.right
145.14819 - 907,912 - Button.right
145.26295 - 840,934 - Button.right
145.35632 - 788,929 - Button.right
145.47993 - 742,932 - Button.right
145.58572 - 679,921 - Button.right
145.71395 - 644,910 - Button.right
145.80797 - 583,890 - Button.right
145.92794 - 532,891 - Button.right
146.02791 - 495,862 - Button.right
146.14487 - 468,850 - Button.right
146.23759 - 427,806 - Button.right
146.34301 - 399,795 - Button.right
146.44679 - 244,704 - Button.right
146.54292 - 28,671 - Button.right
146.90634 - 676,547 - Button.right
146.99594 - 676,546 - Button.right
147.10854 - 663,507 - Button.right
147.22042 - 682,504 - Button.right
147.33766 - 721,445 - Button.right
147.43668 - 741,448 - Button.right
147.55667 - 847,429 - Button.right
147.67407 - 857,434 - Button.right
147.78187 - 814,406 - Button.right
147.89382 - 820,404 - Button.right
148.00396 - 856,399 - Button.right
148.11698 - 860,399 - Button.right
148.22898 - 940,402 - Button.right
148.34008 - 946,403 - Button.right
148.44927 - 995,415 - Button.right
148.55058 - 1027,406 - Button.right
148.64982 - 1159,389 - Button.right
148.76055 - 1177,399 - Button.right
148.86503 - 1231,409 - Button.right
148.97753 - 1238,431 - Button.right
149.08357 - 1212,452 - Button.right
149.20320 - 1212,452 - Button.right
149.29934 - 1206,453 - Button.right
149.39949 - 1209,456 - Button.right
149.50900 - 1227,456 - Button.right
149.60006 - 1231,456 - Button.right
149.94005 - 1614,531 - Button.right
150.06865 - 1602,584 - Button.right
150.12684 - 1593,601 - Button.right
150.24062 - 1593,626 - Button.right
150.34213 - 1594,602 - Button.right
150.46017 - 1553,659 - Button.right
150.55084 - 1288,456 - Button.right
150.66585 - 1190,597 - Button.right
150.76588 - 1274,715 - Button.right
150.88760 - 1286,724 - Button.right
150.97553 - 1269,731 - Button.right
151.09825 - 1240,739 - Button.right
151.27858 - 1480,744 - Button.right
151.38944 - 1484,790 - Button.right
151.47513 - 1475,819 - Button.right
151.59604 - 1439,862 - Button.right
151.68765 - 1410,876 - Button.right
151.79251 - 1412,877 - Button.right
151.89708 - 1397,879 - Button.right
152.00407 - 1396,894 - Button.right
152.53829 - 1283,650 - Button.right
152.64227 - 1185,708 - Button.right
152.73233 - 1088,756 - Button.right
152.84540 - 985,784 - Button.right
152.96763 - 1024,642 - Button.right
153.07409 - 1029,632 - Button.right
153.16104 - 1026,571 - Button.right
153.28164 - 1028,561 - Button.right
153.38513 - 1040,542 - Button.right
153.48899 - 1040,541 - Button.right
153.57692 - 1040,541 - Button.right
153.69776 - 1039,549 - Button.right
153.95127 - 1021,542 - Button.right
154.03696 - 1005,546 - Button.right
155.00708 - 938,440 - Button.right
155.09011 - 880,435 - Button.right
155.17747 - 798,427 - Button.right
155.29690 - 758,463 - Button.right
155.38399 - 729,468 - Button.right
155.51376 - 696,509 - Button.right
155.60968 - 691,512 - Button.right
155.72011 - 673,544 - Button.right
156.08513 - 903,626 - Button.right
