390.67971 - 673,977 - Button.right
390.77841 - 680,1009 - Button.right
390.89478 - 801,956 - Button.right
390.99530 - 805,948 - Button.right
391.10070 - 768,804 - Button.right
391.21256 - 771,801 - Button.right
391.33013 - 728,761 - Button.right
391.42498 - 663,744 - Button.right
391.53792 - 652,734 - Button.right
391.63532 - 645,733 - Button.right
391.76175 - 624,735 - Button.right
391.86682 - 611,740 - Button.right
392.34596 - 546,606 - Button.right
392.44676 - 545,604 - Button.right
392.56000 - 511,590 - Button.right
392.65872 - 435,597 - Button.right
392.77205 - 435,597 - Button.right
392.87134 - 435,596 - Button.right
393.00089 - 561,508 - Button.right
393.11507 - 617,486 - Button.right
393.21376 - 658,502 - Button.right
393.32468 - 662,517 - Button.right
393.81387 - 719,424 - Button.right
393.90852 - 711,440 - Button.right
394.01115 - 703,469 - Button.right
394.14261 - 703,485 - Button.right
394.81630 - 685,609 - Button.right
394.92195 - 587,704 - Button.right
395.02346 - 581,799 - Button.right
395.11602 - 586,855 - Button.right
395.22576 - 611,859 - Button.right
395.31117 - 621,856 - Button.right
396.02207 - 945,1091 - Button.left
396.10592 - 945,1091 - Button.left
396.27595 - 877,696 - Button.right
396.36686 - 877,647 - Button.right
396.45624 - 870,652 - Button.right
396.54667 - 893,670 - Button.right
397.14180 - 1071,608 - Button.right
397.22634 - 1052,609 - Button.right
397.33528 - 968,605 - Button.right
397.43834 - 925,591 - Button.right
397.53284 - 922,584 - Button.right
397.62277 - 894,598 - Button.right
397.73371 - 814,625 - Button.right
397.80475 - 814,625 - Button.right
397.94134 - 845,613 - Button.right
398.02478 - 845,612 - Button.right
398.15364 - 839,613 - Button.right
398.24283 - 776,631 - Button.right
398.35050 - 637,562 - Button.right
398.45856 - 582,582 - Button.right
398.55943 - 520,653 - Button.right
398.67865 - 506,648 - Button.right
398.75646 - 480,644 - Button.right
398.89003 - 433,772 - Button.right
399.00146 - 590,732 - Button.right
399.13868 - 623,720 - Button.right
399.27045 - 830,594 - Button.right
399.37596 - 896,529 - Button.right
399.45928 - 883,471 - Button.right
399.57608 - 877,478 - Button.right
399.68182 - 882,523 - Button.right
399.77261 - 896,528 - Button.right
399.88218 - 894,434 - Button.right
