177.18019 - 643,1229 - Button.right
177.29176 - 694,1089 - Button.right
177.44890 - 661,1097 - Button.right
177.47974 - 473,1224 - Button.right
177.84593 - 754,596 - Button.right
177.96763 - 789,663 - Button.right
178.31478 - 712,742 - Button.right
178.42111 - 696,749 - Button.right
178.51969 - 645,776 - Button.right
178.63716 - 635,781 - Button.right
178.76738 - 644,756 - Button.right
178.87974 - 644,755 - Button.right
179.19300 - 674,673 - Button.right
179.30107 - 674,673 - Button.right
179.44263 - 676,666 - Button.right
179.52704 - 676,666 - Button.right
179.65256 - 704,652 - Button.right
179.75274 - 703,649 - Button.right
182.24090 - 993,462 - Button.right
182.32552 - 995,466 - Button.right
182.41087 - 991,467 - Button.right
182.52233 - 906,517 - Button.right
182.59246 - 881,547 - Button.right
182.70281 - 832,614 - Button.right
182.77541 - 811,623 - Button.right
182.87202 - 765,659 - Button.right
182.97959 - 769,658 - Button.right
183.06797 - 789,673 - Button.right
183.16436 - 797,665 - Button.right
183.24886 - 792,672 - Button.right
183.34471 - 776,667 - Button.right
183.44113 - 772,668 - Button.right
183.71909 - 973,546 - Button.right
183.78031 - 974,546 - Button.right
183.90602 - 1012,485 - Button.right
183.98328 - 1012,485 - Button.right
184.10277 - 1032,467 - Button.right
184.19659 - 1025,469 - Button.right
184.32283 - 956,489 - Button.right
184.40637 - 925,484 - Button.right
184.51937 - 939,456 - Button.right
184.61796 - 932,464 - Button.right
184.75139 - 835,662 - Button.right
184.84244 - 811,685 - Button.right
185.00698 - 798,687 - Button.right
185.06690 - 792,689 - Button.right
185.31697 - 781,688 - Button.right
185.40282 - 781,688 - Button.right
185.73751 - 774,685 - Button.right
185.83916 - 774,685 - Button.right
186.34685 - 1064,432 - Button.right
186.42255 - 1062,431 - Button.right
187.24611 - 1270,340 - Button.right
187.32918 - 1272,338 - Button.right
187.43436 - 1295,322 - Button.right
187.53382 - 1283,324 - Button.right
188.04293 - 1298,448 - Button.right
188.12770 - 1292,499 - Button.right
188.58250 - 1206,410 - Button.right
188.65200 - 1176,384 - Button.right
188.75839 - 1068,369 - Button.right
188.84015 - 973,435 - Button.right
188.95041 - 897,463 - Button.right
189.03742 - 815,523 - Button.right
189.12489 - 818,653 - Button.right
189.22724 - 811,699 - Button.right
189.65905 - 598,788 - Button.right
189.74204 - 590,785 - Button.right
190.69625 - 1406,786 - Button.right
190.79296 - 1413,810 - Button.right
190.89349 - 1550,834 - Button.right
190.98244 - 1550,844 - Button.right
191.53309 - 1522,972 - Button.right
191.64049 - 1520,972 - Button.right
192.04058 - 1685,699 - Button.right
192.12089 - 1692,684 - Button.right
192.21504 - 1719,612 - Button.right
192.31453 - 1730,602 - Button.right
192.78414 - 1402,348 - Button.right
192.91003 - 1427,457 - Button.right
192.99866 - 1422,486 - Button.right
193.09101 - 1228,509 - Button.right
193.19955 - 877,524 - Button.right
193.29444 - 847,537 - Button.right
194.27274 - 918,381 - Button.right
194.36812 - 887,402 - Button.right
194.45985 - 789,488 - Button.right
194.55319 - 736,518 - Button.right
195.21307 - 1107,469 - Button.right
195.29055 - 1138,452 - Button.right
195.39515 - 1202,472 - Button.right
195.48059 - 1224,498 - Button.right
195.59370 - 1325,547 - Button.right
195.66469 - 1311,564 - Button.right
195.78010 - 1306,584 - Button.right
195.88682 - 1265,631 - Button.right
196.34672 - 832,778 - Button.right
196.44900 - 881,755 - Button.right
196.53540 - 1062,654 - Button.right
196.63848 - 1032,674 - Button.right
196.74775 - 987,727 - Button.right
196.84154 - 983,732 - Button.right
196.95626 - 981,751 - Button.right
197.04942 - 949,787 - Button.right
197.18018 - 1126,665 - Button.right
197.28657 - 1061,737 - Button.right
197.39092 - 1052,745 - Button.right
197.48073 - 988,776 - Button.right
197.57826 - 1010,733 - Button.right
197.66468 - 1003,741 - Button.right
197.75353 - 996,747 - Button.right
197.83387 - 930,753 - Button.right
197.91758 - 937,741 - Button.right
198.02363 - 810,843 - Button.right
198.10815 - 801,839 - Button.right
198.23510 - 770,850 - Button.right
198.28675 - 738,856 - Button.right
198.39448 - 664,897 - Button.right
198.49626 - 659,893 - Button.right
198.58352 - 573,943 - Button.right
198.66363 - 568,941 - Button.right
198.76185 - 536,962 - Button.right
198.83646 - 474,985 - Button.right
198.95638 - 461,993 - Button.right
199.35060 - 846,705 - Button.right
199.46202 - 959,670 - Button.right
199.53947 - 996,639 - Button.right
199.63650 - 980,664 - Button.right
199.72637 - 1032,601 - Button.right
199.83164 - 1059,590 - Button.right
199.92861 - 1183,486 - Button.right
200.01524 - 1136,522 - Button.right
201.21162 - 948,569 - Button.right
201.29728 - 855,625 - Button.right
201.38372 - 878,580 - Button.right
201.46154 - 879,579 - Button.right
201.58265 - 915,556 - Button.right
201.67869 - 1090,473 - Button.right
201.78240 - 1091,475 - Button.right
201.85372 - 1093,474 - Button.right
201.96578 - 1151,428 - Button.right
202.06315 - 1151,426 - Button.right
202.14021 - 1170,410 - Button.right
202.25465 - 1130,437 - Button.right
202.32550 - 1146,426 - Button.right
202.59858 - 1119,456 - Button.right
202.68571 - 1124,417 - Button.right
202.78559 - 1119,429 - Button.right
202.88456 - 1130,419 - Button.right
202.97755 - 1114,431 - Button.right
203.06589 - 1116,415 - Button.right
203.16071 - 1108,421 - Button.right
203.28422 - 1129,411 - Button.right
203.34080 - 1163,368 - Button.right
203.43027 - 1231,327 - Button.right
203.53516 - 1217,331 - Button.right
203.63867 - 1262,263 - Button.right
203.74324 - 1276,267 - Button.right
203.82246 - 1323,247 - Button.right
