119.97151 - 1377,331 - Button.right
120.07139 - 1468,250 - Button.right
120.19634 - 1420,216 - Button.right
120.26793 - 1378,194 - Button.right
120.41529 - 1363,203 - Button.right
120.47660 - 1355,204 - Button.right
120.60898 - 1313,240 - Button.right
120.69964 - 1303,251 - Button.right
120.82644 - 1197,363 - Button.right
120.92893 - 1093,473 - Button.right
121.06645 - 704,843 - Button.right
121.49372 - 400,1279 - Button.right
121.60637 - 413,1268 - Button.right
121.69910 - 330,985 - Button.right
121.78927 - 334,965 - Button.right
121.86774 - 396,800 - Button.right
121.97931 - 301,598 - Button.right
122.07223 - 370,307 - Button.right
122.19489 - 453,138 - Button.right
123.19099 - 910,712 - Button.right
123.28554 - 897,737 - Button.right
123.36842 - 873,775 - Button.right
123.46082 - 881,776 - Button.right
123.54291 - 913,767 - Button.right
123.64819 - 923,774 - Button.right
123.78306 - 902,768 - Button.right
123.90115 - 907,765 - Button.right
124.75740 - 636,794 - Button.right
124.92647 - 581,828 - Button.right
124.99261 - 580,828 - Button.right
125.09614 - 570,867 - Button.right
125.18538 - 529,914 - Button.right
125.31702 - 520,946 - Button.right
125.88301 - 1027,1086 - Button.left
125.99064 - 1026,1104 - Button.left
126.13444 - 1064,832 - Button.right
126.23742 - 1100,758 - Button.right
126.33096 - 1101,690 - Button.right
126.44272 - 1122,702 - Button.right
126.52753 - 1322,616 - Button.right
126.65437 - 1330,546 - Button.right
126.75222 - 1333,486 - Button.right
126.86181 - 1330,492 - Button.right
126.98185 - 1377,469 - Button.right
127.08434 - 1410,445 - Button.right
127.17010 - 1429,413 - Button.right
127.28220 - 1428,412 - Button.right
127.35748 - 1406,401 - Button.right
127.48854 - 1378,402 - Button.right
127.57157 - 1381,400 - Button.right
128.14207 - 913,645 - Button.right
128.19553 - 839,678 - Button.right
128.36151 - 630,916 - Button.right
128.40952 - 621,931 - Button.right
128.53799 - 612,972 - Button.right
128.61971 - 572,986 - Button.right
128.76419 - 563,1017 - Button.right
129.48450 - 853,561 - Button.right
129.59697 - 942,554 - Button.right
129.70879 - 1130,341 - Button.right
129.83049 - 1128,342 - Button.right
129.92137 - 1111,288 - Button.right
130.03856 - 1103,308 - Button.right
130.12390 - 1091,281 - Button.right
130.24156 - 1092,282 - Button.right
130.32718 - 1232,358 - Button.right
130.46489 - 1249,371 - Button.right
130.52832 - 1244,372 - Button.right
130.63453 - 1255,373 - Button.right
130.74015 - 1287,428 - Button.right
130.85051 - 1080,544 - Button.right
130.92682 - 577,710 - Button.right
131.03398 - 491,790 - Button.right
131.10661 - 517,833 - Button.right
131.22515 - 369,894 - Button.right
131.30025 - 316,898 - Button.right
131.42976 - 303,937 - Button.right
131.51969 - 305,949 - Button.right
131.65639 - 307,1002 - Button.right
132.35964 - 383,845 - Button.right
132.44584 - 382,836 - Button.right
132.54409 - 252,781 - Button.right
132.68058 - 252,774 - Button.right
132.83908 - 698,612 - Button.right
132.95976 - 849,654 - Button.right
133.05114 - 1016,577 - Button.right
133.18423 - 1052,608 - Button.right
133.30062 - 990,588 - Button.right
133.40492 - 988,550 - Button.right
133.51021 - 1091,469 - Button.right
133.62171 - 1091,468 - Button.right
133.69657 - 1065,491 - Button.right
133.80860 - 702,593 - Button.right
133.88408 - 574,617 - Button.right
134.00209 - 82,875 - Button.right
134.05860 - 0,928 - Button.right
134.17234 - 6,1057 - Button.right
134.24763 - 50,938 - Button.right
134.36558 - 315,784 - Button.right
134.44465 - 501,784 - Button.right
134.55840 - 408,793 - Button.right
134.63298 - 395,761 - Button.right
134.74361 - 411,767 - Button.right
134.87144 - 610,735 - Button.right
134.98598 - 603,732 - Button.right
135.09710 - 957,566 - Button.right
135.19588 - 1078,562 - Button.right
135.27368 - 1164,545 - Button.right
135.39407 - 1118,537 - Button.right
135.46794 - 1122,538 - Button.right
135.58249 - 1137,539 - Button.right
135.64532 - 1151,542 - Button.right
135.75982 - 1172,549 - Button.right
135.83164 - 1203,554 - Button.right
135.94089 - 1221,557 - Button.right
136.01156 - 1363,531 - Button.right
136.12265 - 1363,531 - Button.right
136.20860 - 1423,486 - Button.right
136.32080 - 1469,486 - Button.right
136.40684 - 1470,487 - Button.right
136.53054 - 1403,504 - Button.right
138.73335 - 1341,1253 - Button.left
138.82632 - 1341,1253 - Button.left
140.54676 - 1050,366 - Button.right
140.62275 - 1050,366 - Button.right
141.27436 - 1285,375 - Button.right
141.39576 - 1285,375 - Button.right
144.99284 - 1237,488 - Button.left
145.39483 - 1024,640 - Button.left
148.21850 - 1613,712 - Button.left
148.48287 - 1024,640 - Button.left
150.23254 - 2047,382 - Button.right
150.33389 - 2046,338 - Button.right
150.42781 - 2001,279 - Button.right
150.47743 - 2000,278 - Button.right
151.21794 - 1894,1149 - Button.left
151.33811 - 1861,1119 - Button.left
155.13261 - 1337,1249 - Button.left
155.22512 - 1337,1249 - Button.left
156.59539 - 1583,532 - Button.right
156.72305 - 1583,535 - Button.right
156.80530 - 1582,536 - Button.right
156.92751 - 1582,535 - Button.right
157.00566 - 1580,535 - Button.right
157.12853 - 1580,536 - Button.right
157.19868 - 1579,536 - Button.right
157.32507 - 1576,538 - Button.right
